국적,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년
한국,8517417,8945601,11040135,12249959,13522632,13089129,13560004,10023678
중국,1812172,2859092,2237363,3061522,747315,666120,1079133,103288
